max_time,mean_time,positive_score,negative_score,subjective_score,negative,positive,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,ttr,cttr,diversity,herdan,summer,dugast,maas,utterances,WC,unique,word_per_utter,label
190.0,10.0,0.484375,0.13764880952380953,0.14093959731543623,1,335,14.1,72.66,59.19,95.78,6.2,3.58,91.34,80.6,59.7,18.21,10.15,3.88,0,4.78,0,1.49,8.06,11.34,4.18,0,14.03,10.45,11.64,7.46,1.19,17.91,7.46,4.48,1.79,0.30000000000000004,1.19,0.30000000000000004,10.75,1.49,9.25,1.79,0.9,0.9,3.88,0.9,1.49,0,5.97,5.97,0,0.9,0.9,0,0,0,0,0,9.85,2.39,0.30000000000000004,0.6000000000000001,0,0,1.49,7.46,0.30000000000000004,0,0,0,0,0,0,0,3.58,1.19,0.6000000000000001,1.79,0.30000000000000004,0,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0.6000000000000001,0,0,0,0,0.6000000000000001,0,18.21,11.64,0.30000000000000004,1.19,9.25,0.6000000000000001,0.9,0.30000000000000004,2.69,1.49,7.76,1.19,9.25,0.6000000000000001,3.2800000000000002,5.37,0,47.16,19.1,10.75,1.79,0,6.27,9.25,1,10,0,8,0,0,8,2,5,5,0.44477611940298506,5.756372199182605,49.3884488392154,0.8606525564837485,0.9147502490922541,41.723984201740926,0.023967030453392685,20,358,47,17.9,2
178.0,22.25,0.20833333333333334,0.2916666666666667,0.1574074074074074,1,170,9.92,83.87,63.35,56.99,6.8,8.24,95.29,84.12,64.71,20.59,12.94,4.12,0,8.24,0.59,0,7.65,11.76,5.29,0,14.12,10.59,12.35,7.06,2.35,21.18,6.47,4.71,0,0,0,0,14.71,1.76,12.94,1.76,0.59,4.12,3.5300000000000002,0,4.12,0,11.18,6.47,4.12,3.5300000000000002,2.94,0,0,0,0,0,12.35,1.76,1.76,1.18,0,0,1.18,10.59,0,0,0,0.59,0,0,0,0,5.29,1.18,2.35,1.18,1.18,0,0,0,0,0,0,0,0,0,0,0.59,0,2.94,0,0,0,0,0,0,12.35,15.88,0.59,1.76,12.35,0,1.18,0,0.59,1.76,8.82,0.59,5.88,0,1.76,3.5300000000000002,0.59,38.24,17.06,6.47,0.59,0,7.06,7.06,2,5,0,7,1,1,3,1,1,3,0.5882352941176471,5.423261445466404,51.989830034831385,0.8966804757690343,0.933349626840931,49.70791798817655,0.020117519310260762,9,182,41,20.22222222222222,2
42.0,8.4,0.2592905405405405,0.15962837837837837,0.11077844311377245,1,365,14.21,93.07,79.9,75.64,9.61,9.04,97.26,83.84,62.19,18.9,15.89,4.11,0.8200000000000001,8.49,1.37,1.1,3.01,9.59,3.84,1.37,15.62,9.59,9.32,10.14,2.19,22.19,3.01,3.29,5.75,3.29,2.19,0.27,18.36,0.55,17.53,2.74,1.92,3.29,4.11,1.92,6.03,0,4.11,3.84,0.27,1.1,1.1,0,0,0,0,0,18.36,3.84,0.27,0.8200000000000001,0,0,1.6400000000000001,14.52,1.1,0.27,0.27,1.37,0,0,0,0,5.75,1.1,2.47,1.92,0.8200000000000001,0,1.1,0,0,0,0,0.27,0,0.27,0,1.6400000000000001,0.55,0.55,0.27,0,0,0,0,0,17.81,9.32,0.55,3.56,5.48,0,0,0,5.48,2.19,6.03,3.56,6.58,0.27,0.8200000000000001,5.48,0,31.78,15.07,4.93,0.55,0,4.93,6.3,11,6,2,7,1,1,4,5,3,4,0.4421052631578947,6.094000500924098,56.348592137820546,0.8625953295633737,0.9170418926958174,43.231217933455554,0.023131432511091135,6,384,45,64.0,2
213.0,8.875,0.38950892857142855,0.0859375,0.20588235294117646,1,321,11.96,23.56,28.28,90.39,5.94,9.97,86.92,76.01,55.76,18.69,9.97,6.54,0,1.25,2.18,0,8.72,13.71,5.3,2.49,10.28,12.15,10.59,5.61,0.62,18.69,7.79,4.05,1.25,0.62,0.31,0.31,12.15,0.62,11.53,1.56,0.93,0.31,2.18,4.05,2.18,0,5.61,5.3,0.31,1.87,1.87,0,0,0,0,0,6.85,1.87,0,0,0,0,1.25,4.98,0,0.62,1.87,0.62,0,0,0,0,2.18,0.31,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.62,0,0,0,0,0,0.62,7.79,9.35,0.62,1.25,3.74,1.87,0.31,1.87,2.18,5.3,8.72,1.56,8.72,0,3.12,5.61,0,46.11,21.5,5.61,0.31,0,7.17,11.53,1,23,2,12,1,1,13,0,6,12,0.41228070175438597,5.391269745958201,39.509987898087225,0.8481440295815837,0.9066215526460538,38.42332126281018,0.026025860522575314,25,344,53,13.76,2
180.0,13.846153846153847,0.3306818181818182,0.14659090909090908,0.17295597484276728,1,342,17.95,64.26,92.41,92.27,7.95,11.4,94.74,81.87,59.94,20.47,16.37,8.19,0.58,5.5600000000000005,0,1.75,4.09,11.99,7.02,0.29,12.28,11.99,7.02,6.14,2.34,23.39,5.85,2.05,3.22,2.92,0.29,0,16.67,2.63,14.04,3.8,0.88,2.34,3.8,2.05,3.8,0,6.43,5.85,0.58,2.92,2.34,0.58,0.29,0,0.29,0,17.54,5.5600000000000005,1.46,1.46,0,0,2.92,12.28,0.29,0.58,0.58,0.29,0,0,0,0,4.97,0,2.92,2.05,0,0,0.88,0,0,0,0,0,0,0,0,0.58,1.46,1.17,0,0,0,0,0.29,0.29,14.04,9.94,0,2.92,7.31,0.29,0,0.29,2.34,3.8,6.14,2.63,6.73,1.46,2.05,3.22,0,31.58,14.62,7.6,1.17,0,5.85,2.34,5,18,1,17,0,2,11,4,5,14,0.45027624309392267,6.057847291914405,45.213894974575354,0.8645719289332734,0.9179487491282927,43.50386271781798,0.022986464592497615,14,362,44,25.857142857142858,2
146.0,18.25,0.37777777777777777,0.19722222222222222,0.16875,1,241,14.89,89.39,59.91,99,8.61,9.96,96.27,85.48,64.32,20.33,14.11,4.5600000000000005,1.6600000000000001,4.5600000000000005,2.49,0.8300000000000001,6.22,12.45,7.47,0.41000000000000003,13.28,10.79,10.79,8.71,0.41000000000000003,22.82,4.98,2.49,4.5600000000000005,4.15,0,0.41000000000000003,15.35,2.07,13.28,3.32,0.8300000000000001,1.6600000000000001,4.5600000000000005,0.8300000000000001,3.73,0,7.47,7.47,0,0,0,0,0,0,0,0,19.09,6.64,2.9,2.07,0,0,1.6600000000000001,12.45,0,0,2.49,0,0.41000000000000003,0.41000000000000003,0,0,3.32,0.41000000000000003,1.6600000000000001,0.8300000000000001,0.8300000000000001,0,1.6600000000000001,0.41000000000000003,0.41000000000000003,0,0,0,0,0.8300000000000001,0,1.6600000000000001,0,0.41000000000000003,0.8300000000000001,0,0,0,0.8300000000000001,0,10.37,9.54,0,2.07,7.05,0,0.41000000000000003,0.41000000000000003,2.9,2.49,6.22,2.07,6.64,0,1.6600000000000001,4.98,0,33.2,14.52,9.13,1.6600000000000001,0,4.5600000000000005,3.32,1,11,0,6,0,1,6,1,0,8,0.4900398406374502,5.489758664932657,69.7090543969004,0.870912196408745,0.9191430169109258,42.803834176524035,0.023362393094879683,9,252,44,28.0,2
207.0,12.9375,0.4187219730941704,0.13789237668161436,0.2064814814814815,1,297,4.43,79.2,78.99,99,6.75,17.51,95.29,81.14,60.94,18.86,13.13,5.72,0.67,4.38,0,2.36,5.72,11.78,4.38,3.37,10.1,10.44,14.14,9.76,0.34,19.87,6.06,6.73,3.7,2.36,0.67,0.67,14.81,2.02,12.79,2.36,1.35,1.35,4.04,2.02,3.37,0,8.42,8.42,0,1.01,1.01,0,0,0,0,0,15.49,4.04,1.35,2.69,0,0,1.35,11.45,0,0,1.01,0,1.35,0,1.01,0.34,4.38,1.01,2.02,1.6800000000000002,0.34,0,1.35,0,0,0,0,0,0,1.01,0,0.34,0.34,0.67,0,0,0,0,0,0,10.77,8.42,1.01,1.01,4.71,0.34,1.35,0.67,6.73,2.69,7.41,1.01,5.05,0,1.01,4.04,0,39.73,19.87,9.43,0.67,0,6.06,3.7,1,20,1,10,0,0,15,3,2,12,0.47619047619047616,5.976143046671969,81.63420695664227,0.8710251236600045,0.9210786835869801,44.60227295478122,0.0224203820512426,17,316,45,18.58823529411765,2
120.0,12.0,0.3263888888888889,0.17083333333333334,0.11363636363636363,1,207,1,92.24,91.27,98.05,4.7,10.14,96.14,80.68,60.87,26.09,21.74,9.66,1.45,10.63,0,0,4.35,8.7,4.35,0.48,7.25,19.32,7.73,4.83,0.97,27.05,5.31,2.42,4.35,3.86,0.48,0,15.46,0,14.49,3.38,2.42,3.38,4.35,0,4.83,0,6.76,6.76,0,2.9,2.9,0,0,0,0,0,19.32,4.83,0,1.45,0,0,3.38,14.49,0.48,0,0.48,0,0.48,0,0,0.48,6.28,0.48,1.45,3.38,0,0.97,1.9300000000000002,0.48,0,0,0.48,0,0,1.45,0,0,0.97,0.48,0,0,0,0,0,1.45,12.56,8.7,0.48,1.9300000000000002,6.28,0.48,0.48,0,2.9,5.8,12.08,0.48,8.21,0,1.45,6.76,0,58.45,20.29,6.76,5.31,0,9.66,16.43,1,8,0,12,0,3,6,0,3,7,0.470873786407767,4.778846999096822,23.404160084254872,0.858636881484183,0.9088981000323806,37.6892942425676,0.026532733501561972,11,229,49,20.818181818181817,2
168.0,5.090909090909091,0.3626609442060086,0.11856223175965665,0.16180555555555556,1,379,4.62,17.69,82.27,88.56,5.74,9.76,97.1,85.75,58.58,22.69,14.25,9.76,0,4.49,0,0,8.44,9.23,2.37,0.53,11.35,14.25,8.18,6.07,1.32,25.59,8.71,3.17,2.37,0.53,1.85,0,15.3,2.11,12.66,2.11,0.79,3.17,3.96,0.26,3.17,0,4.75,4.75,0,2.64,2.64,0,0,0,0,0,8.44,2.9,0.53,0.26,0,0,2.37,5.28,0,0,0,0,0,0,0,0,4.75,2.11,0,2.64,0,0,0.79,0,0,0,0,0,0,0,0,0.79,1.06,1.32,0,0,0,0,0,0.79,14.51,7.39,0,1.85,5.01,0,0.53,0.26,4.49,3.96,6.33,2.11,11.61,0.26,4.75,6.07,0.53,44.06,12.4,12.14,4.49,3.43,6.86,4.75,2,22,1,10,0,1,14,0,4,6,0.38271604938271603,5.446144859178875,46.667345276872965,0.8400266461623889,0.9027443789759431,37.53054445055318,0.026644963845848513,34,405,47,11.911764705882353,2
181.0,7.24,0.33315217391304347,0.16902173913043478,0.16242937853107345,1,376,14.84,87.5,86.52,99,7.23,9.84,97.61,82.71,61.44,19.15,15.16,4.52,0.27,8.24,0,2.13,3.99,13.03,4.79,0.27,13.03,10.37,7.45,9.31,1.8599999999999999,19.95,7.71,4.52,3.7199999999999998,2.66,0.8,0.27,18.35,1.8599999999999999,15.69,3.19,0.53,1.33,7.18,0.27,5.85,0,9.84,9.31,0.53,2.93,2.93,0,0,0,0,0,18.09,5.05,0,1.33,0,0,2.13,13.03,0,0.27,0,0,0.53,0,0.27,0.27,5.32,1.33,2.13,1.6,0.27,0,0.8,0,0,0,0,0,0,0.53,0,0,0.8,1.06,0,0,0,0,0.27,0,13.3,9.84,0.27,1.6,6.91,0,1.8599999999999999,0.27,3.46,1.06,8.51,0.8,5.59,0,2.13,3.46,0,31.12,16.49,7.18,1.06,0,5.32,1.06,5,23,1,14,1,4,14,9,8,12,0.4126984126984127,5.673665146135802,59.804684618222055,0.8508754900764233,0.909318840033123,39.79824777738484,0.025126734362617975,26,396,47,15.23076923076923,2
177.0,9.833333333333334,0.398876404494382,0.17275280898876405,0.1523972602739726,1,191,24.52,96.37,69.58,88.25,5.16,8.9,89.53,78.01,57.59,20.94,14.66,4.19,1.57,5.24,0,3.66,6.28,12.57,6.8100000000000005,0.52,13.09,13.09,4.71,5.24,1.57,21.99,6.28,1.57,1.57,1.57,0,0,10.47,2.62,7.85,2.09,0.52,1.57,2.09,1.05,3.14,0,4.71,4.71,0,1.05,1.05,0,0,0,0,0,18.32,2.62,0,0,0,0,2.62,15.71,0,0,0,0,0,0,0,0,5.76,0,4.71,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,13.61,0.52,3.14,8.38,1.05,1.57,0,1.57,0.52,7.85,1.05,7.85,0,3.66,4.19,0,46.6,19.9,7.33,3.66,0,7.85,7.85,2,4,1,4,0,2,1,3,1,1,0.5,5.07444578254611,53.024671052631575,0.869901784763624,0.9166892372383988,40.95272298016802,0.024418400712554945,19,209,48,11.0,2
177.0,9.833333333333334,0.3473360655737705,0.2551229508196721,0.2147887323943662,1,164,4.45,2.86,95.44,99,4.97,7.32,90.85,79.27,56.71,20.73,15.85,11.59,0,4.27,0,0,4.88,9.76,3.66,0,9.15,11.59,9.15,5.49,4.88,21.34,8.54,1.22,1.83,1.22,0.61,0,16.46,2.44,13.41,3.05,1.22,0.61,3.66,2.44,4.88,0,10.98,9.76,1.22,3.66,3.66,0,0,0,0,0,11.59,5.49,1.22,1.83,0,0,3.66,6.1,0,0,0,0,0.61,0,0,0.61,2.44,0,1.22,1.22,0,0,0.61,0,0,0,0,0,0,0,0,1.22,0.61,0,1.22,0,0,0,0,2.44,10.98,7.93,0.61,2.44,4.88,0.61,0,0,1.22,2.44,9.15,1.83,6.71,0,1.83,4.88,0,55.49,22.56,10.37,0.61,0,7.93,14.02,3,5,0,5,3,0,3,0,2,5,0.4519774011299435,4.251952027621871,31.85210702341137,0.8465803466034837,0.8986959020795846,33.73850493062945,0.029639724761251984,19,180,44,9.473684210526315,2
179.0,16.272727272727273,0.3431603773584906,0.17570754716981132,0.20703125,1,141,3.14,72.67,88.8,97.14,5.64,7.8,92.2,82.98,61.7,21.99,16.31,8.51,0.71,7.09,0,0,5.67,9.22,4.96,0.71,9.93,14.18,13.48,5.67,0.71,21.99,6.38,4.96,1.42,0.71,0.71,0,7.09,0.71,5.67,1.42,0,0,1.42,1.42,2.13,0,9.22,7.8,1.42,2.84,2.84,0,0,0,0,0,15.6,6.38,2.84,1.42,0,0,3.55,9.22,0,0,0,0,0,0,0,0,2.84,0,1.42,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.18,7.8,0,2.13,5.67,0.71,0.71,0,4.96,4.96,6.38,2.84,7.09,0,2.84,4.26,0,44.68,21.28,3.55,2.13,0,7.09,10.64,0,5,0,7,0,0,3,1,1,3,0.5364238410596026,4.661026234952332,47.1875,0.8758628774156892,0.9178208658219151,40.41723968112209,0.024741917258319736,12,151,41,12.583333333333334,2
173.0,10.8125,0.33067375886524825,0.23581560283687944,0.17625,1,222,6.5600000000000005,75.76,52.53,98.75,4.83,6.76,93.69,79.28,54.05,20.72,14.86,6.31,1.35,4.95,0,2.25,5.86,9.91,4.5,1.8,8.56,15.32,5.41,4.95,3.15,23.87,5.86,3.15,3.6,3.15,0,0.45,9.01,2.25,6.31,1.35,0,1.8,0.45,0.45,2.7,0,9.01,8.11,0.9,5.41,4.5,0.9,0,0,0,0,18.47,6.31,0.9,0,0,0,5.41,12.16,0.9,0,0.45,0,0,0,0,0,4.05,0,2.25,1.35,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,2.25,0,9.91,11.26,0.9,2.7,4.5,1.35,0.9,2.25,2.7,1.8,9.91,0,9.46,0,3.15,6.31,0,56.76,21.62,7.66,4.05,0,7.21,16.22,2,9,5,9,2,4,5,2,3,6,0.48523206751054854,5.282124940008192,47.4,0.8677541954354282,0.9165078624513326,41.34770217580125,0.024185140827130414,17,239,48,14.058823529411764,2
