text,target
 ,"  This is participant 1489.  The date is March 25, 2019.  This is scene two."
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on?"," Hi.  This is Interviewer, the landlord."
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak.", Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy.
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time.", Okay. I just-- don’t know what I can do about your problem right now.
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help?"," Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now."
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help? Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now. No, I understand.  Uhm..  Tell me what I got to do.  Is there something I got to do to make me and your situation better?"," Well, I mean I have a list and you’re on the list.  But there are other problems that are more serious right now."
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help? Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now. No, I understand.  Uhm..  Tell me what I got to do.  Is there something I got to do to make me and your situation better? Well, I mean I have a list and you’re on the list.  But there are other problems that are more serious right now. Right, okay.  That’s fine.  You got my contact information.  I got yours.  And it looks like I'm going to be coming here every day."," I mean it might take me about a week, maybe even two weeks before I’ll have time to fix it."
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help? Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now. No, I understand.  Uhm..  Tell me what I got to do.  Is there something I got to do to make me and your situation better? Well, I mean I have a list and you’re on the list.  But there are other problems that are more serious right now. Right, okay.  That’s fine.  You got my contact information.  I got yours.  And it looks like I'm going to be coming here every day. I mean it might take me about a week, maybe even two weeks before I’ll have time to fix it. Right.  That’s not a problem.  What number am I on the list, you know?"," Uhm..  I mean you’re on the list, but there’s just a few people ahead of you that have more serious problems."
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help? Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now. No, I understand.  Uhm..  Tell me what I got to do.  Is there something I got to do to make me and your situation better? Well, I mean I have a list and you’re on the list.  But there are other problems that are more serious right now. Right, okay.  That’s fine.  You got my contact information.  I got yours.  And it looks like I'm going to be coming here every day. I mean it might take me about a week, maybe even two weeks before I’ll have time to fix it. Right.  That’s not a problem.  What number am I on the list, you know? Uhm..  I mean you’re on the list, but there’s just a few people ahead of you that have more serious problems. Well, I mean, you know just hit me up.  Like let me know because, you know, I don’t want to be charged for the leak and on my floor.  You know, if stuff get start messing up by the water damage I don’t want to get charged for that for them.  You know?", Okay. Yeah.  The problem just doesn’t sound as bad as it did the last time you called.
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help? Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now. No, I understand.  Uhm..  Tell me what I got to do.  Is there something I got to do to make me and your situation better? Well, I mean I have a list and you’re on the list.  But there are other problems that are more serious right now. Right, okay.  That’s fine.  You got my contact information.  I got yours.  And it looks like I'm going to be coming here every day. I mean it might take me about a week, maybe even two weeks before I’ll have time to fix it. Right.  That’s not a problem.  What number am I on the list, you know? Uhm..  I mean you’re on the list, but there’s just a few people ahead of you that have more serious problems. Well, I mean, you know just hit me up.  Like let me know because, you know, I don’t want to be charged for the leak and on my floor.  You know, if stuff get start messing up by the water damage I don’t want to get charged for that for them.  You know? Okay. Yeah.  The problem just doesn’t sound as bad as it did the last time you called. I know the weather going to get bad, but like I said I don’t want to be charged for no extra damages. Uhm..  If you say next week and I’m on the list, there’s a few people ahead of me, you know, business is business and just let me know.  I don’t have no-- I’m not going to move.  I'm going to pay my rent, but that’s-- I mean it’s your building.  So if you can’t fix it as soon as you can, then fix it. I mean…", Okay.  I’m aware of the problem.  I’ll be over as soon as I can.
"   This is participant 1489.  The date is March 25, 2019.  This is scene two.wer: Okay.  What’s going on? Hi.  This is Interviewer, the landlord. I got this leak up there.  And I know we talked but I still have my leak. Okay.  I’m sorry.  I haven’t had enough time to get over to fix it.  I’ve been very busy. Yeah, I’ve been busy, too, uh..  but not busy enough to- to like call you and like reassure me that you’re going to come in and fix my link with the date, the time. Okay. I just-- don’t know what I can do about your problem right now. <laughs> Girl, I feel like you called the Better Business Bureau, you, I don't know. Okay.  Well, I know the weather is about to get real bad.  And so if the-- this is something I can do. I’m going to put little buckets.  That’s- that way that my wood, you know, my- my wood on my floors don’t get messed up because that’ll be an issue.  And I don’t have to pay for that either. So this is like a good-- what can I do?  What can I do to help? Uhm..  Well, I just have a lot of other tenants with problems that are ahead of yours right now. No, I understand.  Uhm..  Tell me what I got to do.  Is there something I got to do to make me and your situation better? Well, I mean I have a list and you’re on the list.  But there are other problems that are more serious right now. Right, okay.  That’s fine.  You got my contact information.  I got yours.  And it looks like I'm going to be coming here every day. I mean it might take me about a week, maybe even two weeks before I’ll have time to fix it. Right.  That’s not a problem.  What number am I on the list, you know? Uhm..  I mean you’re on the list, but there’s just a few people ahead of you that have more serious problems. Well, I mean, you know just hit me up.  Like let me know because, you know, I don’t want to be charged for the leak and on my floor.  You know, if stuff get start messing up by the water damage I don’t want to get charged for that for them.  You know? Okay. Yeah.  The problem just doesn’t sound as bad as it did the last time you called. I know the weather going to get bad, but like I said I don’t want to be charged for no extra damages. Uhm..  If you say next week and I’m on the list, there’s a few people ahead of me, you know, business is business and just let me know.  I don’t have no-- I’m not going to move.  I'm going to pay my rent, but that’s-- I mean it’s your building.  So if you can’t fix it as soon as you can, then fix it. I mean… Okay.  I’m aware of the problem.  I’ll be over as soon as I can. Because I’ve got insurance.  I don’t know if you do or not.", Okay.  I’ll be over soon.  Bye-bye.
 ," Hi. This is Interviewer, the landlady."
"  Hi. This is Interviewer, the landlady. ", Very good.
"  Hi. This is Interviewer, the landlady.  Very good. ", Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy.
"  Hi. This is Interviewer, the landlady.  Very good.  Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy. "," Well, I do all the repairs myself for the whole building."
"  Hi. This is Interviewer, the landlady.  Very good.  Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy.  Well, I do all the repairs myself for the whole building. "," Well, I have a list and you're on the list but there are other problems that are more serious."
"  Hi. This is Interviewer, the landlady.  Very good.  Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy.  Well, I do all the repairs myself for the whole building.  Well, I have a list and you're on the list but there are other problems that are more serious. "," Well, it didn't sound that bad the last time that you called."
"  Hi. This is Interviewer, the landlady.  Very good.  Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy.  Well, I do all the repairs myself for the whole building.  Well, I have a list and you're on the list but there are other problems that are more serious.  Well, it didn't sound that bad the last time that you called. ", So what have you done about the problem so far?
"  Hi. This is Interviewer, the landlady.  Very good.  Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy.  Well, I do all the repairs myself for the whole building.  Well, I have a list and you're on the list but there are other problems that are more serious.  Well, it didn't sound that bad the last time that you called.  So what have you done about the problem so far? "," Well, it might take me about a week, uh.. maybe even two weeks, before I have time to fix it."
"  Hi. This is Interviewer, the landlady.  Very good.  Uhm.. I'm sorry. I haven't had enough time to get over to fix it. I've just been-- I've been very busy.  Well, I do all the repairs myself for the whole building.  Well, I have a list and you're on the list but there are other problems that are more serious.  Well, it didn't sound that bad the last time that you called.  So what have you done about the problem so far?  Well, it might take me about a week, uh.. maybe even two weeks, before I have time to fix it. ", You don't need to call. I'm aware of the problem. I'll be over as soon as I can.
 ," Hi, this is Interviewer, the landlady."
"  Hi, this is Interviewer, the landlady. Hi, Interviewer, this is Patient in Apartment 3408, and I contacted uh.. service, the maintenance to fix a leak in my apartment and I've not heard anything back and it's actually getting worse.  Do you know uh.. what the status is of that?"," Yeah, I'm sorry, uhm.. I haven't had enough time to get over to fix it.  I've just been very busy."
"  Hi, this is Interviewer, the landlady. Hi, Interviewer, this is Patient in Apartment 3408, and I contacted uh.. service, the maintenance to fix a leak in my apartment and I've not heard anything back and it's actually getting worse.  Do you know uh.. what the status is of that? Yeah, I'm sorry, uhm.. I haven't had enough time to get over to fix it.  I've just been very busy. Okay, uhm.. I'm just concerned that it's going to, the leak's going to get bigger and it's going to cause damage inside the apartment, so uh.. is there any way you could make that uh.. maybe a priority?"," Yeah, uhm.. I do have a list.  You're on the list, but there are other problems right now that are ahead of yours that are more serious."
