text,target
 ," Hi, this is Interviewer, the landlady."
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area?", Yes.
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that.", Thank you.  Sorry about that.
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in."," Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it."
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in. Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it. Okay but I see that it's now dripping, that uhm.. I really think the roof could-- if it's going to be one or two weeks, I can see the roof maybe just collapsing.  Uh.. I think it's that serious.", 
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in. Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it. Okay but I see that it's now dripping, that uhm.. I really think the roof could-- if it's going to be one or two weeks, I can see the roof maybe just collapsing.  Uh.. I think it's that serious.  But that's my opinion, that it could take about a week and I think it might just totally flat out just collapse and then there'd be no roof in here so I think it could be quite dangerous.  Maybe a few more days before you get somebody but I- I wouldn't go a week.", Okay.
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in. Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it. Okay but I see that it's now dripping, that uhm.. I really think the roof could-- if it's going to be one or two weeks, I can see the roof maybe just collapsing.  Uh.. I think it's that serious.  But that's my opinion, that it could take about a week and I think it might just totally flat out just collapse and then there'd be no roof in here so I think it could be quite dangerous.  Maybe a few more days before you get somebody but I- I wouldn't go a week. Okay. I have put a bucket underneath there so it's-- I mean, maybe there won't be anymore rain but it looks on the weather, on the weather app that we're due for more rain this whole week, you know, two or three more days, so I'm really nervous about this.  It's making me nervous.", Okay.
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in. Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it. Okay but I see that it's now dripping, that uhm.. I really think the roof could-- if it's going to be one or two weeks, I can see the roof maybe just collapsing.  Uh.. I think it's that serious.  But that's my opinion, that it could take about a week and I think it might just totally flat out just collapse and then there'd be no roof in here so I think it could be quite dangerous.  Maybe a few more days before you get somebody but I- I wouldn't go a week. Okay. I have put a bucket underneath there so it's-- I mean, maybe there won't be anymore rain but it looks on the weather, on the weather app that we're due for more rain this whole week, you know, two or three more days, so I'm really nervous about this.  It's making me nervous. Okay. So do you think you can move up your uhm.. the plumber or whoever you are calling, have them come in a little bit before a week, cause I think it's quite dangerous."," Yeah, uhm.. I- I am aware of the problem.  Thank you and uhm.. I'll be over as soon as I can."
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in. Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it. Okay but I see that it's now dripping, that uhm.. I really think the roof could-- if it's going to be one or two weeks, I can see the roof maybe just collapsing.  Uh.. I think it's that serious.  But that's my opinion, that it could take about a week and I think it might just totally flat out just collapse and then there'd be no roof in here so I think it could be quite dangerous.  Maybe a few more days before you get somebody but I- I wouldn't go a week. Okay. I have put a bucket underneath there so it's-- I mean, maybe there won't be anymore rain but it looks on the weather, on the weather app that we're due for more rain this whole week, you know, two or three more days, so I'm really nervous about this.  It's making me nervous. Okay. So do you think you can move up your uhm.. the plumber or whoever you are calling, have them come in a little bit before a week, cause I think it's quite dangerous. Yeah, uhm.. I- I am aware of the problem.  Thank you and uhm.. I'll be over as soon as I can. Okay, uhm.. however, I'm going to call you again if it looks like the roof is about to fall in <laughs> any moment, cause I can't-- I'm here with my children, if that happens, so I will make you uhm.. I might just give you a daily status or something just so you'll know, maybe take some pictures?"," Okay, yeah, that sounds like a great idea.  Uhm.. I'm sorry, I'm with another tenant right now, so I just don't know what I can do about the problem right now, uhm.. but we can keep in touch about the status, okay?"
"  Hi, this is Interviewer, the landlady. Hi, this is Patient, uhm.. Apartment 4C.  Yes, remember uhm.. I placed a phone call to you last week about that slow leak in the, uhm.. in the living room area? Yes. Well, it's been-- yeah, it's been a few days and what has happened now, it's like a legitimate leak.  It's like drip-drip, drip-drip-drip, and uhm.. I'm worried it's going to-- I've moved my furniture, so I'm not even worried about that, but it's going to damage your ceiling and I guess the carpet underneath it, so I just wanted to- to put that out there and remind you about that. Thank you.  Sorry about that. Okay, okay, I just wanted you to be aware it's gotten worse and uhm.. your property, you know, I just don't want it to get more damage than it already is and uh.. so if you could just let me know when you're going to send somebody out here, I will make sure uhm.. the house is ready for them to uhm.. come on in. Sure, uhm.. thank you.  It might take me about a week, maybe even two weeks before I'll have time to fix it. Okay but I see that it's now dripping, that uhm.. I really think the roof could-- if it's going to be one or two weeks, I can see the roof maybe just collapsing.  Uh.. I think it's that serious.  But that's my opinion, that it could take about a week and I think it might just totally flat out just collapse and then there'd be no roof in here so I think it could be quite dangerous.  Maybe a few more days before you get somebody but I- I wouldn't go a week. Okay. I have put a bucket underneath there so it's-- I mean, maybe there won't be anymore rain but it looks on the weather, on the weather app that we're due for more rain this whole week, you know, two or three more days, so I'm really nervous about this.  It's making me nervous. Okay. So do you think you can move up your uhm.. the plumber or whoever you are calling, have them come in a little bit before a week, cause I think it's quite dangerous. Yeah, uhm.. I- I am aware of the problem.  Thank you and uhm.. I'll be over as soon as I can. Okay, uhm.. however, I'm going to call you again if it looks like the roof is about to fall in <laughs> any moment, cause I can't-- I'm here with my children, if that happens, so I will make you uhm.. I might just give you a daily status or something just so you'll know, maybe take some pictures? Okay, yeah, that sounds like a great idea.  Uhm.. I'm sorry, I'm with another tenant right now, so I just don't know what I can do about the problem right now, uhm.. but we can keep in touch about the status, okay? Yeah, yeah, we'll do that."," Okay, thanks for calling.  Talk to you later."
