text,target
 ," THi.  This is Interviewer, the landlord."
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak?", Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately.
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber?"," Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point."
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage.", Oh.  It didn’t sound that bad the last time you called.
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage. Oh.  It didn’t sound that bad the last time you called. It’s getting worse.", Okay.  Uhm.. have you done anything about the problem so far?
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage. Oh.  It didn’t sound that bad the last time you called. It’s getting worse. Okay.  Uhm.. have you done anything about the problem so far? No.", Okay.  Uh..--
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage. Oh.  It didn’t sound that bad the last time you called. It’s getting worse. Okay.  Uhm.. have you done anything about the problem so far? No. Okay.  Uh..-- Made sure my insurance policies were up to date."," Okay.  Uhm.. but yeah, like I said, I just don’t know what I can do about the problem right now."
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage. Oh.  It didn’t sound that bad the last time you called. It’s getting worse. Okay.  Uhm.. have you done anything about the problem so far? No. Okay.  Uh..-- Made sure my insurance policies were up to date. Okay.  Uhm.. but yeah, like I said, I just don’t know what I can do about the problem right now. Okay.  What other pressing problems do you have?", Uhm.. I have a list of problems and you’re on the list.  Uhm.. there’s just been some other things that have been more serious.
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage. Oh.  It didn’t sound that bad the last time you called. It’s getting worse. Okay.  Uhm.. have you done anything about the problem so far? No. Okay.  Uh..-- Made sure my insurance policies were up to date. Okay.  Uhm.. but yeah, like I said, I just don’t know what I can do about the problem right now. Okay.  What other pressing problems do you have? Uhm.. I have a list of problems and you’re on the list.  Uhm.. there’s just been some other things that have been more serious. Water damage is pretty serious."," Yeah, I know.  Uhm.. but like I said, it didn’t sound that bad the last time you called, so..."
"  THi.  This is Interviewer, the landlord. Okay.  Yes.  Are you gonna fix the leak? Uhm.. sorry I haven’t uh.. had enough time to get over to fix it.  I have just been really busy lately. Do you need some assistance findin’ a plumber? Uh.. I actually do all the repairs myself for the whole building, so uh.. I’ll be over to fix it at some point. If- if you don’t fix it soon, it’s gonna cause water damage. Oh.  It didn’t sound that bad the last time you called. It’s getting worse. Okay.  Uhm.. have you done anything about the problem so far? No. Okay.  Uh..-- Made sure my insurance policies were up to date. Okay.  Uhm.. but yeah, like I said, I just don’t know what I can do about the problem right now. Okay.  What other pressing problems do you have? Uhm.. I have a list of problems and you’re on the list.  Uhm.. there’s just been some other things that have been more serious. Water damage is pretty serious. Yeah, I know.  Uhm.. but like I said, it didn’t sound that bad the last time you called, so... Well, it’s getting worse."," Okay.  Uhm.. well, I do have a lot of other tenants with problems and theirs uhm.. are still a bit ahead of yours."
